MetaID,MicrobioID,ClassNote,Class,MetaIn,MicrobioIn
S1,S1,Group1,1,1,1
S2,S2,Group1,1,1,1
S3,S3,Group1,1,1,1
S4,S4,Group1,1,1,1
S5,S5,Group1,1,1,1
S6,S6,Group1,1,1,1
S7,S7,Group1,1,1,1
S8,S8,Group1,1,1,1
S9,S9,Group1,1,1,1
S10,S10,Group1,1,1,1
S11,S11,Group1,1,1,1
S12,S12,Group1,1,1,1
S13,S13,Group1,1,1,1
S14,S14,Group1,1,1,1
S15,S15,Group1,1,1,1
S16,S16,Group2,2,1,1
S17,S17,Group2,2,1,1
S18,S18,Group2,2,1,1
S19,S19,Group2,2,1,1
S20,S20,Group2,2,1,1
S21,S21,Group2,2,1,1
S22,S22,Group2,2,1,1
S23,S23,Group2,2,1,1
S24,S24,Group2,2,1,1
S25,S25,Group2,2,1,1
S26,S26,Group2,2,1,1
S27,S27,Group2,2,1,1
S28,S28,Group2,2,1,1
S29,S29,Group2,2,1,1
S30,S30,Group2,2,1,1
