Class,HMDBID,Name,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
Alkylamines,HMDB0001414,Putrescine,555.15,917.58,5250.3,1900.08,622.41,62.5,13.29,6899.16,2887.16,1787.24,14.59,2560.96,74.22,1797.65,21.83,62.74,1407.32,154.55,4682.53,125.52,1088.46,310.87,123.28,376.76,1152.06,2024.88,961.16,526.09,479.31,155.21
Amino Acids,HMDB0000510,Aminoadipic acid,1.4,21.67,12.37,17.82,31.86,1.04,6.05,334.07,0.9,77.05,63.64,94.84,3.67,8.18,50.4,12.87,11.81,393.65,271.62,7.58,104.38,167.48,18.06,642.68,889.71,204.28,56.16,0.3,32.88,98.49
Amino Acids,HMDB0000192,L-Cystine,216.5,466.29,1162.53,1098.82,1399.22,155.16,554.75,1192.51,985.04,317.35,59.39,497.6,83.07,142.74,336.81,769.22,23.52,206.01,324.44,231.24,2100,243.47,442.55,488.25,30.1,703.77,199.1,55.02,138.24,43.09
Amino Acids,HMDB0000719,L-Homoserine,455.77,828.66,6276.87,181.77,128.88,140.81,442,976.23,525,1868.65,616.74,797.12,126.54,235.71,118.93,741.09,290.7,435.09,828.28,436.17,904.36,1116.14,1098.06,556.95,1273.22,119.88,1675.87,1401.95,644.78,1427.67
Amino Acids,HMDB0000267,Pyroglutamic acid,112.81,630.69,2095.28,363.85,395.88,3757.63,58.88,828.62,536.27,1539.27,1152.09,1354.76,144.63,902.65,3851.21,709.46,1659.18,4111.56,1232.53,558.96,1750.52,2709.04,4664.26,2020.73,3388.71,1038.81,554.13,257.77,718.06,607.38
Amino Acids,HMDB0000929,L-Tryptophan,176.01,670.46,439.54,1203.36,748.78,249.44,115.44,3164.07,356.88,278.22,200.09,227.26,402.67,235.96,207.26,53.42,331.79,314.61,293.63,188.75,769.79,424.31,355.75,244.52,586.96,149.08,124.19,144.01,160.33,232.5
Amino Acids,HMDB0013713,N-acetyltryptophan,289.91,1244.87,797.87,2277.62,1399.71,427.94,167.88,5987.31,638.02,483.55,338.23,387.75,728.17,403.77,347.06,51.5,590.82,557.19,515.29,308.12,1437.7,769.78,638.66,416.55,1083.06,233.36,188.49,221.07,254.59,395.27
Amino Acids,HMDB0002210,2-Phenylglycine,16.56,12.3,230.92,54.13,11.47,15.18,76.81,132.28,613.71,163.2,33.08,37.64,10.16,84.99,17.12,31.92,12.08,55.21,423.67,152.92,15.48,177.81,47.26,178.49,94.65,142.81,178.14,17.18,68.64,40.54
Amino Acids,HMDB0000606,D-2-Hydroxyglutaric acid,76.13,2553.97,396.16,278.13,1246.9,51.28,79.41,356.35,1785.06,74.25,1364.72,257.81,1274.52,145.18,182.15,212.21,1920.18,258.2,1620.54,270.63,311.33,1950.89,1276.64,353.66,330.61,1229.82,193.55,953.5,664.07,92.67
Amino Acids,HMDB0000168,L-Asparagine,2663.96,153.28,228.65,238.11,128.14,114.88,52.06,150.66,47.27,65.23,929.05,32.26,17.62,35.75,6101.57,5535.96,68.65,68.92,41.54,84.99,54.9,87.28,66.74,105.44,112.65,46.48,22.44,50.41,44.84,2433.9
Amino Acids,HMDB0000696,L-Methionine,1123.6,3870.32,18074.28,2854.22,5228.63,10489.25,562.13,11535.57,5153.94,5652.39,5668.66,4468.56,2807.3,4491.87,4824.16,2720.33,6634.35,8349.46,10174.45,4268.5,8242.47,7227.05,10923.68,7370.96,16068.98,2975.23,5108.66,6641.27,1428.98,4295.27
Amino Acids,HMDB0000008,2-Hydroxybutyric acid,59.08,24.58,20.74,15.4,28.59,11.5,6,17.43,14.08,10.71,3.19,6.09,5.89,9.81,6.68,39.44,15.86,6.11,10.34,8.31,15.87,6.73,5.83,20.9,9.86,5.72,6.63,11.65,3.38,6.32
Amino Acids,HMDB0000177,L-Histidine,113.29,866.16,1312.59,1426.56,1061.82,486.94,111.31,3120.06,554.14,1198.01,347.07,1043,29.17,573.27,365.01,333.79,685.94,327.25,1078.32,382.9,2150.29,119.39,1124.38,488.41,1131.55,294.84,512.15,313.97,70.03,322.13
Amino Acids,HMDB0003911,3-Aminoisobutanoic acid,20.06,18.21,25.94,7.76,21.86,7.01,1.18,270.66,15.37,32.86,14.27,4.25,6.38,60.01,279.54,44.68,53.8,1.34,23.87,9.2,12.07,8.56,168.57,31.32,0.82,2.97,25.58,15.52,1.98,0.29
Amino Acids,HMDB0013716,Norvaline,123.52,36.37,271.31,17.11,25.41,15.19,253,249.22,79.22,47.3,628.88,562.54,505.81,207.18,15.86,46.25,40.8,12.81,77.37,19.98,130.15,31.89,28.02,3.39,107.63,53.48,90.06,441.89,303.76,714.17
