OTU_ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	taxonomy
denovo1	0	1	0	155	0	9735	724	22	779	1	823	1892	209	1914	2456	2986	144	1	32	85	2	454	27	0	1	0	0	1640	2171	536	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;D_6__uncultured bacterium
denovo10	1	0	5113	423	1063	0	0	3	814	1	0	0	0	928	0	302	0	0	85	734	1	955	110	3	31	0	0	2	1740	350	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides;D_6__uncultured bacterium
denovo100	0	0	3	0	0	0	12	0	1	1	20	31	10	0	7	0	1	9	14	16	1	7	124	0	36	61	0	44	0	15	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-004;D_6__uncultured bacterium
denovo101	23	0	0	1	2	16	101	137	42	65	6	0	26	3	102	0	0	14	7	194	12	31	12	206	41	1	48	6	27	21	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus;Ambiguous_taxa
denovo102	3	36	13	1	0	27	3	0	0	0	34	135	3	0	38	52	3	12	1	0	0	15	4	2	4	6	1	0	0	4	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes
denovo103	0	61	19	5	35	8	503	3	33	347	13	0	207	6	4	1	0	16	0	0	0	13	15	4	4	1	0	7	0	8	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospira;D_6__uncultured bacterium
denovo104	4	13	6	1	4	10	34	1	36	91	59	45	92	7	26	8	9	45	141	102	7	16	107	128	45	54	143	130	150	42	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Butyricicoccus;D_6__uncultured bacterium
denovo105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Alloprevotella;D_6__uncultured bacterium
denovo106	0	2	9	5	4	7	12	1	0	24	0	0	25	15	16	14	8	2	20	8	0	8	23	4	26	18	31	0	17	5	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Coprococcus 1;D_6__uncultured bacterium
denovo107	15	11	30	0	0	2	0	12	0	0	71	43	0	7	15	1	0	18	2	0	0	0	11	0	7	0	3	6	6	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Oscillibacter;D_6__uncultured bacterium
